# # xx, g_mean, g_median, r_mean, r_median
2.928627, 83.740323, 75.253410, 341.585752, 294.189901
8.785881, 24.094869, 22.120477, 86.763286, 78.860070
14.643134, 9.869207, 9.514906, 34.496120, 33.114461
20.500388, 5.194867, 5.146145, 17.866905, 17.605752
26.357642, 3.188627, 3.194594, 10.670272, 10.613639
32.214896, 2.078804, 2.075160, 6.855552, 6.825963
38.072150, 1.424639, 1.431590, 4.699882, 4.726980
43.929403, 1.025911, 1.048709, 3.414392, 3.515859
49.786657, 0.811158, 0.819594, 2.651701, 2.742023
55.643911, 0.647625, 0.660705, 2.137958, 2.234917
61.501165, 0.518975, 0.584279, 1.614239, 1.882331
67.358419, 0.425148, 0.489065, 1.320304, 1.586870
73.215672, 0.395053, 0.419680, 1.211499, 1.348075
79.072926, 0.362217, 0.365374, 1.117653, 1.186778
84.930180, 0.311954, 0.340944, 0.994946, 1.062504
90.787434, 0.230260, 0.309477, 0.890884, 0.972517
96.644688, 0.206625, 0.288354, 0.802996, 0.880642
102.501941, 0.240936, 0.258222, 0.707600, 0.809768
108.359195, 0.234667, 0.238375, 0.706406, 0.762484
114.216449, 0.202028, 0.213990, 0.668161, 0.703721
120.073703, 0.032611, 0.210384, 0.528392, 0.653046
125.930957, 0.062533, 0.194489, 0.473637, 0.607003
131.788210, 0.129854, 0.178710, 0.460818, 0.561967
137.645464, 0.134211, 0.170963, 0.445188, 0.522045
143.502718, 0.152673, 0.160176, 0.460718, 0.490295
149.359972, 0.152554, 0.156214, 0.436210, 0.465068
155.217226, 0.127928, 0.143221, 0.385474, 0.442286
161.074479, 0.143367, 0.139108, 0.394232, 0.421772
166.931733, 0.134686, 0.134285, 0.349540, 0.401196
172.788987, 0.118459, 0.124112, 0.315693, 0.389284
178.646241, 0.112096, 0.121375, 0.344574, 0.372005
184.503494, 0.024344, 0.124108, 0.315539, 0.352974
190.360748, 0.032022, 0.112324, 0.284196, 0.332242
196.218002, 0.100425, 0.104608, 0.291196, 0.311816
202.075256, 0.118106, 0.102574, 0.308035, 0.305218
207.932510, 0.111080, 0.099093, 0.296205, 0.299604
213.789763, 0.096599, 0.090694, 0.283215, 0.282199
219.647017, 0.096306, 0.090236, 0.290996, 0.285423
225.504271, 0.107270, 0.092963, 0.282839, 0.276385
231.361525, 0.101233, 0.091952, 0.264271, 0.275287
237.218779, 0.093236, 0.090194, 0.236551, 0.264157
243.076032, 0.095242, 0.087950, 0.237674, 0.249580
248.933286, 0.105966, 0.086155, 0.251458, 0.239324
254.790540, 0.104511, 0.085109, 0.251785, 0.237434
