# # xx, g_mean, g_median, r_mean, r_median
2.928627, 83.806717, 75.308364, 341.297378, 293.647262
8.785881, 24.028552, 22.049953, 86.342669, 78.409021
14.643134, 9.802715, 9.436180, 34.187926, 32.802009
20.500388, 5.156276, 5.116191, 17.672330, 17.407432
26.357642, 3.162333, 3.172877, 10.537579, 10.488437
32.214896, 2.061278, 2.063405, 6.771822, 6.745872
38.072150, 1.418306, 1.428333, 4.649608, 4.678558
43.929403, 1.014359, 1.043903, 3.365230, 3.470046
49.786657, 0.800772, 0.812595, 2.596326, 2.691560
55.643911, 0.633966, 0.649461, 2.084866, 2.196058
61.501165, 0.509078, 0.577974, 1.578425, 1.849296
67.358419, 0.417377, 0.486608, 1.288505, 1.561921
73.215672, 0.387364, 0.411568, 1.171183, 1.321462
79.072926, 0.358538, 0.361412, 1.085177, 1.160994
84.930180, 0.278080, 0.338217, 0.966391, 1.040566
90.787434, 0.213362, 0.304407, 0.864140, 0.951791
96.644688, 0.202181, 0.282005, 0.777621, 0.860447
102.501941, 0.234555, 0.250671, 0.683962, 0.785513
108.359195, 0.221448, 0.228687, 0.668956, 0.734854
114.216449, 0.189120, 0.205830, 0.627781, 0.680344
120.073703, 0.031428, 0.202722, 0.517947, 0.631708
125.930957, 0.084561, 0.187281, 0.511969, 0.587710
131.788210, 0.143450, 0.173903, 0.484555, 0.542614
137.645464, 0.127484, 0.163698, 0.429547, 0.505855
143.502718, 0.146073, 0.154076, 0.443452, 0.475174
149.359972, 0.146298, 0.151092, 0.418182, 0.448356
155.217226, 0.119319, 0.135400, 0.364701, 0.425515
161.074479, 0.133592, 0.129996, 0.372675, 0.405623
166.931733, 0.126580, 0.126364, 0.330088, 0.384520
172.788987, 0.112073, 0.118285, 0.298560, 0.373374
178.646241, 0.102866, 0.113405, 0.326574, 0.356151
184.503494, 0.014026, 0.115036, 0.295530, 0.338196
190.360748, 0.022861, 0.104480, 0.271283, 0.320814
196.218002, 0.091767, 0.097817, 0.277365, 0.300057
202.075256, 0.108568, 0.095582, 0.290962, 0.292339
207.932510, 0.103375, 0.092946, 0.281883, 0.288480
213.789763, 0.091394, 0.085196, 0.272457, 0.272059
219.647017, 0.088319, 0.084029, 0.274996, 0.273897
225.504271, 0.099359, 0.086400, 0.265005, 0.263275
231.361525, 0.092151, 0.085363, 0.245303, 0.262877
237.218779, 0.083395, 0.082969, 0.223063, 0.252709
243.076032, 0.075997, 0.082193, 0.227486, 0.238993
248.933286, 0.095170, 0.080236, 0.237852, 0.229348
254.790540, 0.096516, 0.078664, 0.236844, 0.227649
260.647794, 0.085057, 0.071210, 0.219656, 0.217056
266.505048, 0.066129, 0.064919, 0.192839, 0.212909
272.362301, 0.041579, 0.063724, 0.187031, 0.203383
278.219555, 0.021128, 0.062135, 0.176968, 0.194616
284.076809, 0.055894, 0.058745, 0.169477, 0.187463
289.934063, 0.036230, 0.050262, 0.123519, 0.179281
295.791317, 0.062858, 0.053808, 0.167982, 0.173966
301.648570, 0.062369, 0.052191, 0.179469, 0.174959
307.505824, 0.060617, 0.054098, 0.172105, 0.174521
313.363078, 0.050756, 0.046938, 0.161051, 0.165820
319.220332, 0.057197, 0.046796, 0.164867, 0.160130
325.077586, 0.051579, 0.044227, 0.149977, 0.155371
330.934839, 0.030570, 0.044316, 0.092418, 0.149309
336.792093, 0.033181, 0.040595, 0.114840, 0.146967
342.649347, 0.036999, 0.037393, 0.144069, 0.149541
348.506601, 0.031212, 0.040641, 0.162340, 0.151166
354.363854, 0.029112, 0.036641, 0.148098, 0.144041
360.221108, 0.025608, 0.034925, 0.139338, 0.137799
