# # xx, g_mean, g_median, r_mean, r_median
2.928627, 84.244361, 75.638872, 343.249442, 295.326876
8.785881, 24.120275, 22.115988, 86.784822, 78.827457
14.643134, 9.831431, 9.479035, 34.348291, 32.980227
20.500388, 5.169714, 5.120565, 17.760347, 17.502238
26.357642, 3.177663, 3.182037, 10.634647, 10.576844
32.214896, 2.066392, 2.064050, 6.816569, 6.791475
38.072150, 1.418448, 1.427912, 4.669161, 4.699685
43.929403, 1.017255, 1.040414, 3.371285, 3.476720
49.786657, 0.805360, 0.809477, 2.610930, 2.696055
55.643911, 0.634595, 0.646365, 2.091766, 2.195468
61.501165, 0.508780, 0.573071, 1.584964, 1.850027
67.358419, 0.416771, 0.482289, 1.302981, 1.566772
73.215672, 0.393577, 0.414404, 1.192587, 1.331903
79.072926, 0.362005, 0.362658, 1.101746, 1.170790
84.930180, 0.280824, 0.336557, 0.985355, 1.048624
90.787434, 0.217069, 0.305492, 0.879762, 0.960148
96.644688, 0.204944, 0.284011, 0.788761, 0.865500
102.501941, 0.237645, 0.254347, 0.695003, 0.798342
108.359195, 0.226694, 0.231043, 0.688334, 0.747202
114.216449, 0.195372, 0.208340, 0.650341, 0.689156
120.073703, 0.024490, 0.201588, 0.513184, 0.638124
125.930957, 0.054770, 0.184725, 0.456579, 0.590940
131.788210, 0.124331, 0.172962, 0.448876, 0.549806
137.645464, 0.129718, 0.164549, 0.436741, 0.511280
143.502718, 0.148436, 0.154352, 0.451939, 0.478308
149.359972, 0.147471, 0.150680, 0.426428, 0.456078
155.217226, 0.122215, 0.137103, 0.374902, 0.433472
161.074479, 0.137915, 0.132859, 0.383569, 0.412789
166.931733, 0.129876, 0.128489, 0.339906, 0.390383
172.788987, 0.112201, 0.117674, 0.303509, 0.378646
178.646241, 0.104989, 0.115233, 0.333069, 0.361811
184.503494, 0.017564, 0.115957, 0.303737, 0.344204
190.360748, 0.026105, 0.106725, 0.274997, 0.324301
196.218002, 0.092714, 0.096906, 0.278814, 0.301226
202.075256, 0.109444, 0.094901, 0.294997, 0.295610
207.932510, 0.104462, 0.092959, 0.286658, 0.292295
213.789763, 0.091093, 0.085085, 0.276109, 0.274490
219.647017, 0.089966, 0.083787, 0.279318, 0.276354
225.504271, 0.102393, 0.088472, 0.273587, 0.269096
231.361525, 0.093039, 0.085746, 0.251371, 0.265584
237.218779, 0.084682, 0.083494, 0.227927, 0.254830
243.076032, 0.077676, 0.082512, 0.232873, 0.242014
248.933286, 0.097581, 0.081292, 0.246668, 0.231905
254.790540, 0.099530, 0.078886, 0.247226, 0.230572
260.647794, 0.088087, 0.071040, 0.227524, 0.219525
266.505048, 0.069150, 0.066377, 0.199657, 0.216809
272.362301, 0.045273, 0.064873, 0.196287, 0.206000
278.219555, 0.025859, 0.065027, 0.185119, 0.197473
284.076809, 0.061906, 0.061924, 0.179387, 0.193560
289.934063, 0.040628, 0.053930, 0.134272, 0.185471
295.791317, 0.065778, 0.054913, 0.178726, 0.181160
301.648570, 0.066342, 0.053877, 0.189485, 0.182555
307.505824, 0.065030, 0.056634, 0.183161, 0.181405
313.363078, 0.056736, 0.050230, 0.174920, 0.175129
319.220332, 0.062525, 0.050003, 0.176148, 0.168472
325.077586, 0.054751, 0.047523, 0.155622, 0.160745
330.934839, 0.035206, 0.047254, 0.102135, 0.157415
336.792093, 0.037678, 0.042670, 0.126299, 0.156109
342.649347, 0.041657, 0.040351, 0.153591, 0.156368
348.506601, 0.033625, 0.043486, 0.164082, 0.155545
354.363854, 0.016891, 0.038666, 0.121134, 0.148329
360.221108, 0.025714, 0.036879, 0.137115, 0.140337
366.078362, 0.045915, 0.034924, 0.152807, 0.140210
371.935616, 0.050119, 0.036154, 0.156144, 0.143432
377.792870, 0.043472, 0.035238, 0.142926, 0.140441
383.650123, 0.037800, 0.033170, 0.128566, 0.131583
389.507377, 0.028669, 0.029705, 0.134462, 0.128490
395.364631, 0.028805, 0.030870, 0.147189, 0.127490
401.221885, 0.029321, 0.028741, 0.141539, 0.125118
407.079139, 0.028164, 0.025571, 0.123899, 0.118572
412.936392, 0.021053, 0.024567, 0.101114, 0.118007
418.793646, 0.013804, 0.026059, 0.091721, 0.117850
424.650900, 0.003098, 0.023571, 0.081889, 0.114612
430.508154, -0.001105, 0.025779, 0.072287, 0.111769
436.365408, 0.030365, 0.027181, 0.116660, 0.111704
442.222661, 0.031181, 0.024538, 0.124715, 0.116365
448.079915, 0.011922, 0.020792, 0.120404, 0.110200
453.937169, 0.019563, 0.023976, 0.094161, 0.102688
459.794423, 0.028876, 0.020008, 0.100035, 0.099667
465.651677, 0.035375, 0.016252, 0.106224, 0.098669
471.508930, 0.038519, 0.020413, 0.113188, 0.103004
477.366184, 0.015306, 0.016373, 0.087694, 0.099574
483.223438, -0.005820, 0.017311, 0.071079, 0.093496
489.080692, 0.014294, 0.012250, 0.085212, 0.092547
494.937946, 0.022314, 0.015996, 0.096146, 0.093101
500.795199, 0.023006, 0.016551, 0.090701, 0.089375
506.652453, 0.031707, 0.020975, 0.091829, 0.083837
512.509707, 0.023642, 0.022692, 0.092497, 0.086202
518.366961, 0.025710, 0.018877, 0.093204, 0.089245
524.224214, 0.030966, 0.020588, 0.084961, 0.090989
530.081468, 0.020900, 0.022784, 0.076175, 0.092101
535.938722, 0.009966, 0.020230, 0.062389, 0.085824
541.795976, 0.018157, 0.017318, 0.080221, 0.081568
547.653230, 0.035157, 0.022899, 0.101644, 0.088443
553.510483, 0.032024, 0.023865, 0.098906, 0.089947
559.367737, 0.022125, 0.017803, 0.082601, 0.088015
565.224991, 0.017512, 0.016105, 0.079273, 0.078551
571.082245, 0.025566, 0.020724, 0.087649, 0.077245
