# # xx, g_mean, g_median, r_mean, r_median
2.928627, 83.860154, 75.380318, 341.798133, 294.418979
8.785881, 24.019380, 22.031830, 86.369344, 78.434968
14.643134, 9.792449, 9.442087, 34.181581, 32.797683
20.500388, 5.150681, 5.100360, 17.702388, 17.432997
26.357642, 3.161418, 3.167866, 10.577975, 10.526219
32.214896, 2.061975, 2.061188, 6.783882, 6.760254
38.072150, 1.416058, 1.421052, 4.660802, 4.699052
43.929403, 1.014210, 1.040127, 3.375312, 3.478768
49.786657, 0.804870, 0.813917, 2.624387, 2.715253
55.643911, 0.635312, 0.643909, 2.096278, 2.202147
61.501165, 0.512596, 0.573986, 1.583908, 1.843229
67.358419, 0.416783, 0.480543, 1.290418, 1.558311
73.215672, 0.392868, 0.414911, 1.168092, 1.309633
79.072926, 0.361612, 0.362327, 1.091018, 1.154460
84.930180, 0.281258, 0.333026, 0.988889, 1.050024
90.787434, 0.221397, 0.305577, 0.889277, 0.951506
96.644688, 0.205948, 0.283040, 0.793156, 0.865483
102.501941, 0.241561, 0.251223, 0.710657, 0.791948
108.359195, 0.234285, 0.233388, 0.705313, 0.744906
114.216449, 0.197342, 0.207440, 0.658653, 0.689925
120.073703, 0.027056, 0.203310, 0.521967, 0.641448
125.930957, 0.056706, 0.187184, 0.459421, 0.595220
131.788210, 0.125761, 0.175191, 0.444187, 0.547481
137.645464, 0.131562, 0.168371, 0.433560, 0.514063
143.502718, 0.150206, 0.156534, 0.455452, 0.483887
149.359972, 0.150903, 0.152645, 0.428649, 0.456789
155.217226, 0.124775, 0.137471, 0.377169, 0.432665
161.074479, 0.138878, 0.133306, 0.382637, 0.410486
166.931733, 0.131074, 0.129005, 0.342363, 0.392326
172.788987, 0.115420, 0.118226, 0.309745, 0.379446
178.646241, 0.108864, 0.115184, 0.336089, 0.363309
184.503494, 0.018270, 0.116745, 0.305244, 0.344493
190.360748, 0.026695, 0.106556, 0.277851, 0.324979
196.218002, 0.094403, 0.099071, 0.286056, 0.308216
202.075256, 0.113307, 0.096855, 0.303798, 0.300789
207.932510, 0.109508, 0.095243, 0.297774, 0.297111
213.789763, 0.095598, 0.087560, 0.281421, 0.278982
219.647017, 0.092557, 0.087008, 0.283066, 0.279561
225.504271, 0.104939, 0.090161, 0.276882, 0.271534
231.361525, 0.097558, 0.088687, 0.255899, 0.269533
237.218779, 0.090879, 0.087780, 0.235701, 0.260541
243.076032, 0.083126, 0.086160, 0.239378, 0.247443
248.933286, 0.100414, 0.083654, 0.250191, 0.237506
254.790540, 0.103067, 0.083374, 0.252387, 0.237480
260.647794, 0.090830, 0.075395, 0.230479, 0.225319
266.505048, 0.070231, 0.067895, 0.197546, 0.217180
272.362301, 0.046699, 0.066778, 0.198025, 0.211401
278.219555, 0.026882, 0.066200, 0.187954, 0.202167
284.076809, 0.062856, 0.063701, 0.181891, 0.197959
289.934063, 0.042012, 0.055700, 0.134550, 0.187849
295.791317, 0.066496, 0.055783, 0.177473, 0.182540
301.648570, 0.066749, 0.054621, 0.190565, 0.183689
